title,text,label
Government launches new education policy,The Ministry of Education announced a policy to increase access to quality education across all states.,1
NASA confirms aliens landed on Earth,"A group of individuals reported a UFO landing in the desert, claiming to witness extraterrestrial life.",0
Local man wins lottery twice in a week,"A man from Ohio won the state lottery twice in just one week, defying odds of one in several million.",1
Experts warn about new flu strain spreading,Doctors are urging the public to get vaccinated as a new flu strain has been detected in several countries.,1
Aliens spotted in rural Indian village,"Villagers report unusual lights and figures, claiming they interacted with beings from another planet.",0
Stock market hits record high after tech boom,"Markets surged today with tech companies reporting record profits, boosting investor confidence.",1
Fake doctor treats 500 patients in 2 months,An unlicensed man posed as a doctor and managed a clinic treating hundreds without any medical degree.,0
City council approves free WiFi zones,"The new initiative will provide free internet access in public parks, libraries, and transportation hubs.",1
Man claims to time travel from 2080,A YouTuber says he’s traveled through time and warns about global disasters in the year 2080.,0
Health benefits of drinking water confirmed,Scientists highlight the importance of hydration and its impact on mental and physical health.,1
Government launches new education policy,The Ministry of Education announced a policy to increase access to quality education across all states.,1
NASA confirms aliens landed on Earth,"A group of individuals reported a UFO landing in the desert, claiming to witness extraterrestrial life.",0
Local man wins lottery twice in a week,"A man from Ohio won the state lottery twice in just one week, defying odds of one in several million.",1
Experts warn about new flu strain spreading,Doctors are urging the public to get vaccinated as a new flu strain has been detected in several countries.,1
Aliens spotted in rural Indian village,"Villagers report unusual lights and figures, claiming they interacted with beings from another planet.",0
Stock market hits record high after tech boom,"Markets surged today with tech companies reporting record profits, boosting investor confidence.",1
Fake doctor treats 500 patients in 2 months,An unlicensed man posed as a doctor and managed a clinic treating hundreds without any medical degree.,0
City council approves free WiFi zones,"The new initiative will provide free internet access in public parks, libraries, and transportation hubs.",1
Man claims to time travel from 2080,A YouTuber says he’s traveled through time and warns about global disasters in the year 2080.,0
Health benefits of drinking water confirmed,Scientists highlight the importance of hydration and its impact on mental and physical health.,1
Government launches new education policy,The Ministry of Education announced a policy to increase access to quality education across all states.,1
NASA confirms aliens landed on Earth,"A group of individuals reported a UFO landing in the desert, claiming to witness extraterrestrial life.",0
Local man wins lottery twice in a week,"A man from Ohio won the state lottery twice in just one week, defying odds of one in several million.",1
Experts warn about new flu strain spreading,Doctors are urging the public to get vaccinated as a new flu strain has been detected in several countries.,1
Aliens spotted in rural Indian village,"Villagers report unusual lights and figures, claiming they interacted with beings from another planet.",0
Stock market hits record high after tech boom,"Markets surged today with tech companies reporting record profits, boosting investor confidence.",1
Fake doctor treats 500 patients in 2 months,An unlicensed man posed as a doctor and managed a clinic treating hundreds without any medical degree.,0
City council approves free WiFi zones,"The new initiative will provide free internet access in public parks, libraries, and transportation hubs.",1
Man claims to time travel from 2080,A YouTuber says he’s traveled through time and warns about global disasters in the year 2080.,0
Health benefits of drinking water confirmed,Scientists highlight the importance of hydration and its impact on mental and physical health.,1
Government launches new education policy,The Ministry of Education announced a policy to increase access to quality education across all states.,1
NASA confirms aliens landed on Earth,"A group of individuals reported a UFO landing in the desert, claiming to witness extraterrestrial life.",0
Local man wins lottery twice in a week,"A man from Ohio won the state lottery twice in just one week, defying odds of one in several million.",1
Experts warn about new flu strain spreading,Doctors are urging the public to get vaccinated as a new flu strain has been detected in several countries.,1
Aliens spotted in rural Indian village,"Villagers report unusual lights and figures, claiming they interacted with beings from another planet.",0
Stock market hits record high after tech boom,"Markets surged today with tech companies reporting record profits, boosting investor confidence.",1
Fake doctor treats 500 patients in 2 months,An unlicensed man posed as a doctor and managed a clinic treating hundreds without any medical degree.,0
City council approves free WiFi zones,"The new initiative will provide free internet access in public parks, libraries, and transportation hubs.",1
Man claims to time travel from 2080,A YouTuber says he’s traveled through time and warns about global disasters in the year 2080.,0
Health benefits of drinking water confirmed,Scientists highlight the importance of hydration and its impact on mental and physical health.,1
Government launches new education policy,The Ministry of Education announced a policy to increase access to quality education across all states.,1
NASA confirms aliens landed on Earth,"A group of individuals reported a UFO landing in the desert, claiming to witness extraterrestrial life.",0
Local man wins lottery twice in a week,"A man from Ohio won the state lottery twice in just one week, defying odds of one in several million.",1
Experts warn about new flu strain spreading,Doctors are urging the public to get vaccinated as a new flu strain has been detected in several countries.,1
Aliens spotted in rural Indian village,"Villagers report unusual lights and figures, claiming they interacted with beings from another planet.",0
Stock market hits record high after tech boom,"Markets surged today with tech companies reporting record profits, boosting investor confidence.",1
Fake doctor treats 500 patients in 2 months,An unlicensed man posed as a doctor and managed a clinic treating hundreds without any medical degree.,0
City council approves free WiFi zones,"The new initiative will provide free internet access in public parks, libraries, and transportation hubs.",1
Man claims to time travel from 2080,A YouTuber says he’s traveled through time and warns about global disasters in the year 2080.,0
Health benefits of drinking water confirmed,Scientists highlight the importance of hydration and its impact on mental and physical health.,1
Government launches new education policy,The Ministry of Education announced a policy to increase access to quality education across all states.,1
NASA confirms aliens landed on Earth,"A group of individuals reported a UFO landing in the desert, claiming to witness extraterrestrial life.",0
Local man wins lottery twice in a week,"A man from Ohio won the state lottery twice in just one week, defying odds of one in several million.",1
Experts warn about new flu strain spreading,Doctors are urging the public to get vaccinated as a new flu strain has been detected in several countries.,1
Aliens spotted in rural Indian village,"Villagers report unusual lights and figures, claiming they interacted with beings from another planet.",0
Stock market hits record high after tech boom,"Markets surged today with tech companies reporting record profits, boosting investor confidence.",1
Fake doctor treats 500 patients in 2 months,An unlicensed man posed as a doctor and managed a clinic treating hundreds without any medical degree.,0
